country,track_count,unique_tracks,mean_popularity,mean_daily_rank,mean_valence,mean_energy,mean_danceability,pct_euphoric,pct_peaceful,pct_aggressive,pct_melancholic
AE,28866,828,86.43608397422574,25.50308321208342,0.4969588962793598,0.6253746359038315,0.6387798448001109,41.81736298759787,4.493175362017599,37.89925864338669,15.790203006997853
AR,29156,503,78.10543284401153,25.496124296885718,0.6343963259706407,0.6817380423034709,0.6964130882151186,70.99739333241871,3.7865276443956644,20.795033612292496,4.421045410893126
AT,29024,1184,81.46216923925027,25.500723539140022,0.5298441427783903,0.6618600358324146,0.6664434847023153,49.6933572216097,5.7986493936052925,32.900358324145536,11.60763506063947
AU,28965,663,87.53647505610219,25.50163991023649,0.5110935301225618,0.6248716934230968,0.6293482478853789,46.87381322285517,4.847229414810979,31.510443638874502,16.768513723459346
BE,29151,787,83.71997530101883,25.494665706150734,0.5258348135569963,0.6509782484305856,0.6594269836369251,50.416795307193574,5.018695756577819,31.944015642688072,12.62049329354053
BG,28913,906,61.138830283955315,25.499463908968284,0.6329154082938471,0.7743015183481479,0.7005711617611455,69.91318783938021,2.4487254868052433,23.740186075467783,3.8979005983467645
BO,29156,408,82.39504733159555,25.49790780628344,0.6208390585128276,0.6918505700850597,0.70435387913294,69.60488407188915,1.8761146933735766,23.514885443819452,5.0041157909178215
BR,29157,781,77.18832527351923,25.49761635284837,0.6529695922077031,0.710472579483486,0.679994718249477,70.99838803717805,9.023562094865726,15.958431937442125,4.019617930514113
BY,29109,772,63.12528771170428,25.496959703184583,0.5383056477378131,0.6560995911917276,0.6889666426191212,53.30653749699405,5.1908344498265135,30.385791336012918,11.116836717166512
CA,28919,966,86.70801203361113,25.50119298730938,0.5042272433348317,0.6105065534769529,0.6300708530723745,43.614924444137074,5.6226010581278745,33.29299076731561,17.469483730419448
CH,28970,1216,83.6589920607525,25.496858819468414,0.5068811850189852,0.6461669872281671,0.6558037625129444,46.996893337935795,4.829133586468761,35.581636175353815,12.59233690024163
CL,29105,599,78.16275554028518,25.498161827864628,0.6114787764988834,0.676818016193094,0.7332635526541831,68.91942965126266,3.4701941247208388,22.095859817900703,5.514516406115788
CO,28914,636,80.48239607110742,25.500138341287958,0.591843527702843,0.6701185757764404,0.7402541917410251,62.86228124783841,3.091927785847686,28.750778169744763,5.295012796569136
CR,29161,644,83.73392544837283,25.497170878913618,0.5736321453310929,0.6587668578375228,0.7111083399060389,58.993175817015874,4.0602174136689415,29.460580912863072,7.486025856452111
CZ,29161,845,70.15109221220123,25.496656493261547,0.48582609992798603,0.6722648400260622,0.6857136243613046,38.757244264599976,4.084222077432187,47.89959192071602,9.25894173725181
DE,29019,1416,78.04593542162031,25.497260415589786,0.5278890726765223,0.6650744181398394,0.6905612874323719,50.29808056790379,5.444708639167442,34.07767324856128,10.179537544367484
DK,28961,889,68.57169987224198,25.495735644487414,0.5523721107696558,0.659610310417458,0.692155415904147,53.54442180863921,5.707675839922654,34.246055039535925,6.501847311902213
DO,29176,873,72.24893748286263,25.49880038387716,0.5744069848505621,0.6692079037565122,0.7160240231697286,59.73060049355635,2.3375377022210033,32.02975047984645,5.902111324376199
EC,28912,520,83.50058799114555,25.499896236856667,0.6013241833840619,0.676050953268539,0.742229818068622,63.177919203099066,2.6009961261759824,27.79468732706143,6.426397343663531
EE,29023,1203,74.89883885194502,25.500602970058228,0.5163890879647176,0.6868460531302759,0.6606544464734865,48.830238087034424,4.548117010646728,37.07059917996072,9.551045722358129
EG,29161,395,60.096190116937,25.496656493261547,0.6173474092109323,0.6829321696786804,0.6998119406056034,63.05682246836528,3.988203422379205,23.161071293851375,9.793902815404136
ES,29005,702,79.48370970522323,25.496155835200828,0.5621071601448027,0.6803250425995517,0.711159079469057,61.79279434580245,2.9994828477848645,30.018962247888297,5.188760558524392
FI,29160,1129,62.45689300411522,25.495404663923182,0.5853844581618656,0.7046106001371742,0.6784660836762688,63.110425240054866,1.9204389574759946,29.45816186556927,5.5109739368998625
FR,29159,903,75.64889056552008,25.49795946363044,0.5727769755478583,0.6456882060427312,0.7090999348400151,61.69621729140231,4.434308446791728,26.911073767961863,6.9584004938440955
GB,20919,861,86.36383192313208,25.500549739471293,0.5224627754672786,0.640362742004876,0.6231759214111573,47.875137434867824,6.381758210239495,31.703236292365794,14.039868062526889
GLOBAL,28908,896,88.7449494949495,25.494603569946037,0.5178522485125224,0.6265109789677599,0.642797789539228,46.65144596651446,5.4967483049674835,31.309672063096723,16.54213366542134
GR,29122,904,62.84266190508894,25.50511640684019,0.5252563010782226,0.6870617024929606,0.7147359728040656,51.672275255820345,2.554769590000687,40.0590618776183,5.713893276560675
GT,29158,444,85.12902119486934,25.497016256259002,0.6367484234172439,0.6853263550312092,0.7270314939296247,68.40661225049729,4.681391041909596,21.880787433980384,5.031209273612731
HK,29112,593,69.78208298983238,25.502713657598242,0.49095845355866996,0.6162289708711185,0.6121912613355318,39.877026655674634,5.283044792525419,27.689612530915085,27.15031602088486
