,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min
popularity,1.0,0.03441158062661721,-0.0024438719744497893,0.04737106193048946,-0.04545930931665829,-0.022370211807485017,-0.09471067300623646,-0.00565805674261293,-0.04110922456133684,0.012179580977982258,-0.007899350645168106
danceability,0.03441158062661721,1.0,0.13169513657654203,0.25655912289017885,0.10823708964693557,-0.1691833546408485,-0.18397175107255645,-0.13164812616084307,0.4767496021291129,-0.05151836296694823,-0.07410839313723838
energy,-0.0024438719744497893,0.13169513657654203,1.0,0.7606245003544738,0.14197596645657773,-0.7327454360240001,-0.1799658952084445,0.1848115222548974,0.2584476759152269,0.24735971890596076,0.05816282586381132
loudness,0.04737106193048946,0.25655912289017885,0.7606245003544738,1.0,0.0600884734524492,-0.5881097845196409,-0.43210763963967525,0.07679344987673098,0.27942414390861686,0.21217970042354425,-0.004228468962116043
speechiness,-0.04545930931665829,0.10823708964693557,0.14197596645657773,0.0600884734524492,1.0,-0.0013805724341532243,-0.08921314201792417,0.20509245873802553,0.03639093317720294,0.017165672022432042,-0.06318812746178674
acousticness,-0.022370211807485017,-0.1691833546408485,-0.7327454360240001,-0.5881097845196409,-0.0013805724341532243,1.0,0.10212882014619597,-0.020320603889074314,-0.10622844020023911,-0.207612922007388,-0.10369516329997497
instrumentalness,-0.09471067300623646,-0.18397175107255645,-0.1799658952084445,-0.43210763963967525,-0.08921314201792417,0.10212882014619597,1.0,-0.07984334225790864,-0.3243164694950395,-0.04994139544848615,0.12530715051325053
liveness,-0.00565805674261293,-0.13164812616084307,0.1848115222548974,0.07679344987673098,0.20509245873802553,-0.020320603889074314,-0.07984334225790864,1.0,0.01933230056005465,0.0005434960193001316,0.010212986926172864
valence,-0.04110922456133684,0.4767496021291129,0.2584476759152269,0.27942414390861686,0.03639093317720294,-0.10622844020023911,-0.3243164694950395,0.01933230056005465,1.0,0.07764436968047563,-0.1548104085430287
tempo,0.012179580977982258,-0.05151836296694823,0.24735971890596076,0.21217970042354425,0.017165672022432042,-0.207612922007388,-0.04994139544848615,0.0005434960193001316,0.07764436968047563,1.0,0.024301161130771243
duration_min,-0.007899350645168106,-0.07410839313723838,0.05816282586381132,-0.004228468962116043,-0.06318812746178674,-0.10369516329997497,0.12530715051325053,0.010212986926172864,-0.1548104085430287,0.024301161130771243,1.0
