,precision,recall,f1-score,support
acoustic,0.2222222222222222,0.18292682926829268,0.20066889632107024,164.0
afrobeat,0.2932330827067669,0.20634920634920634,0.2422360248447205,189.0
alt-rock,0.0,0.0,0.0,32.0
alternative,0.95,0.6129032258064516,0.7450980392156863,31.0
ambient,0.3522727272727273,0.21678321678321677,0.2683982683982684,143.0
anime,0.3888888888888889,0.05303030303030303,0.09333333333333334,132.0
black-metal,0.39622641509433965,0.48,0.43410852713178294,175.0
bluegrass,0.24024024024024024,0.41025641025641024,0.30303030303030304,195.0
blues,0.42857142857142855,0.03896103896103896,0.07142857142857142,77.0
brazil,0.0,0.0,0.0,56.0
breakbeat,0.27419354838709675,0.27419354838709675,0.27419354838709675,186.0
british,0.5,0.09565217391304348,0.16058394160583941,115.0
cantopop,0.1946564885496183,0.2914285714285714,0.2334096109839817,175.0
chicago-house,0.375,0.5684210526315789,0.45188284518828453,190.0
children,0.38071065989847713,0.38860103626943004,0.38461538461538464,193.0
chill,0.22448979591836735,0.09401709401709402,0.13253012048192772,117.0
classical,0.5963302752293578,0.48872180451127817,0.5371900826446281,133.0
club,0.3088235294117647,0.21428571428571427,0.25301204819277107,196.0
comedy,0.9127906976744186,0.7929292929292929,0.8486486486486486,198.0
country,0.33574007220216606,0.5375722543352601,0.41333333333333333,173.0
dance,0.7236842105263158,0.6179775280898876,0.6666666666666666,89.0
dancehall,0.23195876288659795,0.3237410071942446,0.2702702702702703,139.0
death-metal,0.26865671641791045,0.2727272727272727,0.2706766917293233,132.0
deep-house,0.21138211382113822,0.25742574257425743,0.23214285714285715,101.0
detroit-techno,0.379746835443038,0.47368421052631576,0.4215456674473068,190.0
disco,0.1595744680851064,0.12,0.136986301369863,125.0
disney,0.4588235294117647,0.21787709497206703,0.29545454545454547,179.0
drum-and-bass,0.6301369863013698,0.745945945945946,0.6831683168316832,185.0
dub,0.2631578947368421,0.125,0.1694915254237288,40.0
dubstep,0.375,0.05555555555555555,0.0967741935483871,54.0
edm,0.0,0.0,0.0,26.0
electro,0.8536585365853658,0.5072463768115942,0.6363636363636364,69.0
electronic,0.2222222222222222,0.014388489208633094,0.02702702702702703,139.0
emo,0.26666666666666666,0.07272727272727272,0.11428571428571428,110.0
folk,1.0,0.06451612903225806,0.12121212121212122,93.0
forro,0.32371794871794873,0.5738636363636364,0.4139344262295082,176.0
french,0.19428571428571428,0.20359281437125748,0.19883040935672514,167.0
funk,0.39080459770114945,0.3434343434343434,0.3655913978494624,99.0
garage,0.203125,0.08441558441558442,0.11926605504587157,154.0
