year,track_count,mean_valence,mean_energy,mean_danceability,mean_popularity,pct_euphoric,pct_peaceful,pct_aggressive,pct_melancholic
2000,100,0.62899,0.7495,0.65875,65.66,71.0,5.0,18.0,6.0
2001,100,0.653694,0.72096,0.67281,66.79,76.0,3.0,14.000000000000002,7.000000000000001
2002,100,0.574905,0.7294799999999999,0.6507599999999999,64.64,59.0,2.0,36.0,3.0
2003,100,0.600036,0.70513,0.6631100000000001,66.25,66.0,5.0,22.0,7.000000000000001
2004,100,0.598722,0.712545,0.66997,67.68,60.0,8.0,25.0,7.000000000000001
2005,100,0.54643,0.6659999999999999,0.66754,68.3,51.0,6.0,31.0,12.0
2006,100,0.5711999999999999,0.7092100000000001,0.6463599999999999,67.65,62.0,3.0,28.999999999999996,6.0
2007,100,0.59214,0.73878,0.65483,69.91,60.0,2.0,31.0,7.000000000000001
2008,100,0.5350280000000001,0.7231799999999999,0.63445,69.81,53.0,1.0,35.0,11.0
2009,100,0.53871,0.7487699999999999,0.63019,70.23,49.0,2.0,44.0,5.0
2010,100,0.555751,0.74933,0.64668,68.89,59.0,2.0,35.0,4.0
2011,100,0.534516,0.73493,0.62975,70.77,55.00000000000001,0.0,37.0,8.0
2012,100,0.5436529999999999,0.73592,0.63453,72.99,56.99999999999999,3.0,31.0,9.0
2013,100,0.507431,0.7145199999999999,0.6306,72.9,50.0,2.0,36.0,12.0
2014,100,0.51202,0.679639,0.6552500000000001,73.35,46.0,2.0,39.0,13.0
2015,100,0.47387799999999997,0.66913,0.6490900000000001,76.1,43.0,2.0,43.0,12.0
2016,100,0.47234000000000004,0.648285,0.6513100000000001,75.02,43.0,2.0,42.0,13.0
2017,100,0.460871,0.62928,0.69396,78.21,33.0,4.0,45.0,18.0
2018,100,0.471312,0.6602,0.6965,75.39,42.0,3.0,47.0,8.0
2019,100,0.48446399999999995,0.61969,0.71004,76.1,43.0,6.0,38.0,13.0
2020,100,0.498181,0.6089,0.70309,61.48,43.0,9.0,33.0,15.0
2021,100,0.48507,0.61231,0.68754,63.13,39.0,7.000000000000001,38.0,16.0
2022,100,0.514477,0.63782,0.67006,68.63,48.0,3.0,34.0,15.0
2023,100,0.51073,0.625411,0.67525,76.77,51.0,3.0,32.0,14.000000000000002
